"BID";"b_Seq";"b_Subject";"b_ISBN";"b_Call_number";"b_Barcode";"b_Format";"b_Title";"b_Author";"b_Publisher";"b_Publication_year";"b_Borrowed_by";"b_Due_Date";"b_renewed"
376;"F10";"宣教";"9789881346605    ";"F10APP";"LTC0179";"書籍";"伯平木C周圍See香港百年教會徑";"區伯平";"宣道差會";"";"";"";0
377;"F10";"宣教";"9789881346612    ";"F10APP";"LTC0266";"書籍";"伯平木C周圍See：宣教澳門五百年";"區伯平";"香港宣道差會";"2015";"";"";0
378;"F10";"宣教";"9789881346629    ";"F10OCP";"LTC0355";"書籍";"伯平木C周圍See：宣教點滴在廣州";"區伯平";"香港宣道差會";"2016";"";"";0
379;"F10";"宣教";"";"F10TT";"LTC0373";"";"廿一世紀系列：佈道宣講手冊";"";"世界華福事工";"";"";"";0
380;"F10";"宣教";"9789627426684    ";"F10PCK";"LTC0374";"";"短宣靈蜜";"彭啟康，熊黃惠玲 編 (Pang Kai Hong, Vanessa Hung)";"香港差傳事工聯會";"2013";"";"";0
381;"F10";"宣教";"9622442307    ";"F10HT";"LTC0375";"書籍";"獻身中華";"戴德生 (HUDSON TAYLOR) ";"宣道出版社";"";"";"";0
382;"F10";"宣教";"9789622447882    ";"F10HHC";"LTC0376";"書籍";"心入穆斯林─與穆斯林分享基督";"何西堅/紫晴譯";"前線差會(香港)";"";"";"";0
383;"F10";"宣教";"9789622440036    ";"F10RAT";"LTC0377";"書籍";"如何領人歸向基督";"叨雷 (R. A. Torrey)/ 王峙譯";"宣道出版社";"2012";"";"";0
384;"F10";"宣教";"9789622447493    ";"F10CME";"LTC0378";"書籍";"信仰基礎系列118福音疑難問與答";"程蒙恩";"宣道出版社";"2004";"";"";0
385;"F10";"宣教";"9789881522863    ";"F10KWC";"LTC0379";"書籍";"別問別答–福音難題問答31題.";"鄺偉志主編";"香港短宣中心";"2012";"";"";0
386;"F10";"宣教";"9622444601    ";"F10TS";"LTC0380";"書籍";"叛徒：一個猶太家庭信耶穌的掙扎歷程";"泰琛斯坦 /方少琪, 陳德貞譯";"宣道出版社";"2000";"";"";0
387;"F10";"宣教";"";"F10HAT";"LTC0381";"";"莫說不能 (二版)";"許愛多著";"海外基督使團";"1991";"";"";0
388;"F10";"宣教";"9628064053    ";"F10LHD";"LTC0382";"書籍";"傈傈女使徒--楊宓貴靈";"狄賀妮 (Lois Hoadley Dick) /徐成德譯";"大使命基督徒團契 ";"1996";"";"";0
389;"F10";"宣教";"";"F10ASB";"LTC0383";"";"荒原上：司務道教士自傳之二 (5版)";"";"靈實醫院";"";"";"";0
390;"F10";"宣教";"9789570471182    ";"F10CHK";"LTC0364";"書籍";"改變生命的溝通傳播：基督徒作見證的溝通傳播理論";"查理斯．克拉夫特 (Charles H. Kraft)
/石彩燕譯";"中華福音神學院";"2002";"";"";0
391;"F10";"宣教";"9789579337984    ";"F10RRD";"LTC0365";"書籍";"使萬民作門徒";"隸立德 (Richard R. DeRidder)/曾家衛譯";"中華福音神學院";"1979";"";"";0
392;"F10";"宣教";"9789881867117    ";"F10DB";"LTC0366";"書籍";"先是猶太人：向猶太人傳福音的聖經及歷史論據 (上冊)";"戴路．博克、米切．基里沙　 (Darrell Bock, Mitch Glaser)/王大民譯";"選民事工差會";"2009";"";"";0
393;"F10";"宣教";"9789628266036    ";"F10CKYC";"LTC0367";"書籍";"戰地情─生命燃在阿富汗";"陳關韻詔";"香港基督徒學生福音團契";"1997";"";"";0
394;"F10";"宣教";"9789627148104    ";"F10JS";"LTC0368";"書籍";"高示聖經地圖手冊";"曾健士 (Jenkines Simon)/陳耀棠譯";"高示有限公司";"1996";"";"";0
395;"F10";"宣教";"9627597023    ";"F10LCK";"LTC0369";"書籍";"考古亮光中的聖地";"李志光";"金燈臺出版社";"1991";"";"";0
396;"F10";"宣教";"9622024394    ";"F10RAW";"LTC0370";"書籍";"巫師之子尋道記";"羅絲瑪莉(Rosemary A.Watson)著; 鄭妙蘭譯";"福音證主協會";"1986";"";"";0
397;"F10";"宣教";"9789628266012    ";"F10WSF";"LTC0371";"書籍";"非Q版信仰：護教與傳福音";"溫淑芳、戴德正、王賜惠、何翰庭";"香港基督徒學生福音團契";"1997";"";"";0
398;"F10";"宣教";"";"F10Cgst";"LTC0372";"";"跨越 ""信心危機"""" (第二版)""";"";"宣道出版社";"";"";"";0
399;"F10";"宣教";"9789622447820    ";"F10";"LTC0359";"書籍";"失而復得的日記—主僕宋尚節日記摘抄";"利未摘錄整理 ";"宣道出版社";"2006";"";"";0
400;"F10";"宣教";"9789887742418    ";"F10CYS";"LTC0360";"書籍";"跟隨使徒的腳蹤";"鄭佑生";"中國浸信會神學院";"2017";"";"";0
401;"F10";"宣教";"4892511006925    ";"F10CYS";"LTC0361";"書籍";"尋找祂鄉的意義";"鄭佑生";"浸信會出版社";"2008";"";"";0
402;"F10";"宣教";"9789881894311    ";"F10DHT";"LTC0363";"書籍";"兒福裝備叢書兒福事工的100個問與答";"杜孝慈";"香港萬國兒童佈道團";"2010";"";"";0
403;"F10";"宣教";"9789628402137    ";"F10TST";"LTC0358";"書籍";"雖至於死—台約爾傳";"戴紹曾、張陳一萍 (Isobel Kuhn)";"海外基督使團";"2009";"";"";0
404;"F10";"宣教";"";"F10WCH";"LTC0362";"書籍";"華哥宣教八寶";"翁競華牧師著";"";"";"";"";0
405;"F10";"宣教";"4892511006437    ";"F10YCH";"LTC0357";"書籍";"驛動的心";"楊其輝著/ 呂慶雄 策劃";"福音證主協會";"2007";"";"";0
406;"G10";"教會史";"9789627706083    ";"G10TCM";"LTC0384";"書籍";"滄桑與窘境：四十多年來的三自愛國運動";"鄧肇明";"基督教中國宗教文化研究社";"1997";"";"";0
407;"G10";"教會史";"9789887742425    ";"G10YHS";"LTC0385";"書籍";"百年滄桑與普世宣教事工的機遇";"袁海生";"中國浸信會神學院";"2018";"";"";0
408;"G10";"教會史";"";"G10BKK";"LTC0386";"";"歷史的軌跡";"";"校園";"";"";"";0
409;"G10";"教會史";"9789623800334    ";"G10LPQ";"LTC0387";"書籍";"教會歷史";"谷勒本 (Lars P. Qualben)";"道聲出版社";"2000";"";"";0
410;"G10";"教會史";"9622306799    ";"G10BRA";"LTC0388";"書籍";"基督教發展史";"比爾奧斯汀 (Bill R. Austin)";"種籽出版社";"2002";"";"";0
411;"G10";"教會史";"";"G10B";"LTC0389";"書籍";"基督教史略";"培克爾著";"浸信會出版社";"1981";"";"";0
412;"G10";"教會史";"";"G10NLE";"LTC0390";"書籍";"以色列史綜覧";"吳理恩博士著";"中華福音神學院出版社";"1985";"";"";0
413;"G10";"教會史";"9789622942608    ";"G10WW";"LTC0391";"書籍";"基督教會史";"華爾克著";"基督教文藝出版社";"1970";"";"";0
414;"G10";"教會史";"7214041200    ";"G10WMH";"LTC0392";"書籍";"基督教史";"王美秀";"江苏人民出版社";"2006";"";"";0
415;"G10";"教會史";"195866495    ";"G10JM";"LTC0393";"書籍";"牛津基督教史";"john Mcmanners編";"牛津大學出版社";"1995";"";"";0
416;"G10";"教會史";"9789623992091    ";"G10WD";"LTC0394";"書籍";"基督教歷史和未來速覽";"D． 溫特 (Winter, David)";"海天書樓";"2011";"";"";0
421;"asd";"asd";"asdasd";"as";"das";"asd";"asd";"asd";"asd";"asd";"";"";0
422;"asd";"asd";"asd";"asd";"9789863562450";"asd";"asdasdasd";"ZUN";"asd";"asd";"";"";0
